Run no.,Date,Week,Location,Weather,Temperature,Mood,Audio,Pace,Distance,Time,Type,Time of day,,Mileage,avg_temperature,Easy avg_mood
1,06/01/2025,1,London,Rainy,4,4,Music,9:55/mi,3.91,38m 49s,Easy,Evening,,264.9,8.6,3.1
2,08/01/2025,1,London,Rainy,2,3,Music,8:56/mi,3.75,33m 31s,Tempo,Evening,,,,
3,12/01/2025,1,London,Sunny,1,4,Podcast,8:43/mi,5.01,40m 46s,Long,Morning,,,,
4,15/01/2025,2,London,Rainy,9,4,Music,8:52/mi,5.19,46m 4s,Interval,Morning,,,,
5,16/01/2025,2,London,Clear,8,4,Podcast,9:15/mi,4.05,37m 32s,Easy,Evening,,,,
7,19/01/2025,2,London,Sunny,3,3,Music,8:06/mi,2.72,22m 5s,Tempo,Evening,,,,
6,19/01/2025,2,London,Sunny,4,5,None,13:16/mi,6.87,91m 7s,Long,Afternoon,,,,
8,22/01/2025,3,London,Overcast,4,2,Music,8:10/mi,4.66,38m 14s,Interval,Morning,,,,
9,24/01/2025,3,London,Clear,11,2,Music,9:05/mi,4.70,42m 47s,Easy,Morning,,,,
10,26/01/2025,3,Great Brickhill,Overcast,3,4,Podcast,8:58/mi,6.92,1h 02m 03s,Long,Morning,,,,
11,29/01/2025,4,London,Clear,6,3,Music,7:55/mi,3.12,24m 46s,Tempo,Morning,,,,
12,31/01/2025,4,London,Overcast,7,3,Music,8:26/mi,4.00,33m 47s,Easy,Evening,,,,
13,01/02/2025,4,London,Overcast,4,4,Music,7:26/mi,3.07,22m 50s,Long,Morning,,,,
14,05/02/2025,5,London,Overcast,3,3,Music,8:55/mi,5.93,52m 55s,Interval,Evening,,,,
15,09/02/2025,5,London,Overcast,6,4,Podcast,8:33/mi,8.15,1h 09m 47s,Long,Afternoon,,,,
16,12/02/2025,6,London,Overcast,3,3,Music,8:02/mi,5.62,45m 10s,Tempo,Morning,,,,
17,14/02/2025,6,London,Clear,3,2,Music,9:05/mi,5.00,45m 25s,Easy,Morning,,,,
18,16/02/2025,6,London,Overcast,4,5,Podcast,8:34/mi,9.32,1h 19m 51s,Long,Afternoon,,,,
19,19/02/2025,7,London,Overcast,7,3,Music,8:22/mi,5.36,44m 51s,Tempo,Evening,,,,
20,21/02/2025,7,London,Overcast,10,2,Music,9:04/mi,5.60,50m 50s,Easy,Morning,,,,
21,23/02/2025,7,London,Overcast,9,3,Podcast,8:28/mi,11.20,1h 34m 54s,Long,Morning,,,,
22,02/03/2025,8,Bath,Sunny,6,4,Conversation,10:47/mi,7.01,1h 15m 41s,Long,Morning,,,,
23,04/03/2025,9,London,Sunny,2,2,Music,8:10/mi,5.89,48m 09s,Tempo,Morning,,,,
24,07/03/2025,9,London,Sunny,12,4,Music,8:47/mi,5.00,44m 00s,Easy,Evening,,,,
25,09/03/2025,9,London,Sunny,16,5,Audiobook,8:43/mi,13.10,1h 55m 14s,Long,Morning,,,,
26,12/03/2025,10,London,Overcast,7,4,Music,8:05/mi,5.57,45m 04s,Tempo,Morning,,,,
27,21/03/2025,11,London,Sunny,14,1,Music,9:08/mi,4.71,43m 04s,Easy,Morning,,,,
28,23/03/2025,11,London,Overcast,10,2,Music,9:17/mi,5.73,53m 17s,Long,Morning,,,,
29,26/03/2025,12,London,Sunny,14,3,Podcast,9:07/mi,7.83,1h 11m 27s,Long,Morning,,,,
30,28/03/2025,12,London,Clear,10,5,Podcast,9:42/mi,15.45,2h 29m 48s,Long,Evening,,,,
31,02/04/2025,13,London,Sunny,12,2,Music,8:11/mi,2.81,23m 03s,Tempo,Evening,,,,
32,04/04/2025,13,London,Sunny,20,4,Music,8:19/mi,3.32,27m 38s,Easy,Morning,,,,
33,06/04/2025,13,London,Sunny,14,3,Podcast,9:38/mi,20.01,3h 12m 50s,Long,Afternoon,,,,
34,10/04/2025,14,London,Clear,15,3,Music,8:28/mi,2.84,24m 06s,Easy,Evening,,,,
35,13/04/2025,14,London,Overcast,14,2,Podcast,9:03/mi,13.01,1h 57m 46s,Long,Afternoon,,,,
36,16/04/2025,15,London,Clear,12,5,Conversation,10:56/mi,6.05,1h 06m 13s,Easy,Evening,,,,
37,18/04/2025,15,London,Overcast,14,3,Music,7:52/mi,2.91,22m 58s,Tempo,Evening,,,,
38,24/04/2025,16,London,Overcast,12,4,Music,8:42/mi,3.33,29m 02s,Tempo,Morning,,,,
39,27/04/2025,16,Manchester,Sunny,21,5,Podcast,9:20/mi,26.20,4h 08m 10s,Marathon,Morning,,,,
